503,false,60,wood screws,2017-10-24T22:02:28.507Z
485,false,1,all laundry detergent,2017-10-25T05:59:28.507Z
485,false,52,terra cotta pots,2017-10-26T11:36:28.507Z
485,true,4,brown mustard,2017-10-26T22:19:28.507Z
485,false,22,ketchup,2017-10-27T22:00:28.507Z
485,false,19,hot dog buns,2017-10-29T00:53:28.507Z
485,false,19,hot dog buns,2017-10-30T12:54:28.507Z
535,false,57,white bathroom caulk,2017-10-23T19:17:28.507Z
535,true,57,white bathroom caulk,2017-10-24T06:40:28.507Z
535,true,49,star wars plates,2017-10-24T10:50:28.507Z
535,false,38,sandpaper,2017-10-24T13:31:28.507Z
535,false,57,white bathroom caulk,2017-10-24T23:52:28.507Z
535,false,27,nails,2017-10-25T13:50:28.507Z
535,false,18,han solo action figure,2017-10-26T01:08:28.507Z
535,false,11,darth vader action figure,2017-10-27T02:43:28.507Z
535,true,2,beige caulk,2017-10-27T02:56:28.507Z
535,false,27,nails,2017-10-27T03:33:28.507Z
535,false,35,relish,2017-10-27T04:50:28.507Z
535,false,47,star wars balloons,2017-10-27T14:14:28.507Z
535,false,44,small hammer,2017-10-27T17:12:28.507Z
535,false,56,wd40,2017-10-28T01:08:28.507Z
535,false,27,nails,2017-10-28T07:52:28.507Z
535,false,31,popcorn,2017-10-28T13:23:28.507Z
535,false,44,small hammer,2017-10-28T22:21:28.507Z
535,true,59,wood glue,2017-10-29T04:49:28.507Z
535,true,60,wood screws,2017-10-29T14:53:28.507Z
535,false,13,door stop,2017-10-29T17:07:28.507Z
662,false,55,veggie tray,2017-10-24T13:45:28.507Z
662,false,22,ketchup,2017-10-24T18:09:28.507Z
662,true,20,hot dogs,2017-10-25T11:48:28.507Z
662,true,37,salsa,2017-10-25T19:11:28.507Z
662,false,7,charcoal briquettes,2017-10-26T00:11:28.507Z
662,false,9,corn,2017-10-26T06:41:28.507Z
662,true,6,cake,2017-10-26T14:44:28.507Z
662,false,7,charcoal briquettes,2017-10-26T17:08:28.507Z
662,false,10,corn chips,2017-10-27T03:20:28.507Z
662,false,26,mustard,2017-10-27T03:54:28.507Z
